,text1,text2,predict,correct_class_prob,probab_0,probab_1
45,A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,0,0.8960644,0.8960644,0.103935614
46,An older women tending to a garden.,The lady is cooking dinner,0,0.9134949,0.9134949,0.08650507
47,An older women tending to a garden.,The lady has a garden,0,0.9123526,0.9123526,0.08764738
48,A man in a black shirt overlooking bike maintenance.,A man destroys a bike.,1,0.9627542,0.03724589,0.9627542
49,A man in a black shirt overlooking bike maintenance.,A man watches bike repairs.,0,0.78088313,0.78088313,0.21911688
50,A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt,1,0.8787628,0.12123723,0.8787628
51,A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,1,0.7596782,0.2403218,0.7596782
52,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,0,0.915848,0.915848,0.084152035
53,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.,0,0.9129287,0.9129287,0.08707131
54,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,1,0.8891279,0.11087209,0.8891279
55,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.,0,0.663818,0.663818,0.33618197
56,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.,1,0.9286666,0.07133338,0.9286666
57,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,0,0.86762714,0.86762714,0.1323728
58,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,0,0.8951945,0.8951945,0.104805544
59,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,0,0.9018879,0.9018879,0.09811209
60,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,1,0.61639,0.38361,0.61639
61,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,0,0.9475469,0.9475469,0.052453063
62,A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,1,0.97724515,0.02275485,0.97724515
63,A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.",1,0.9697371,0.03026286,0.9697371
64,People are conversing at a dining table under a canopy.,People are talking underneath a covering.,1,0.98076576,0.019234259,0.98076576
65,People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,1,0.9819933,0.018006675,0.9819933
66,A girl playing a violin along with a group of people,A girl is washing a load of laundry.,1,0.96157146,0.038428534,0.96157146
67,A girl playing a violin along with a group of people,A girl is playing an instrument.,0,0.9463203,0.9463203,0.05367973
68,A woman within an orchestra is playing a violin.,A woman is playing the violin.,0,0.9160711,0.9160711,0.08392887
69,A woman within an orchestra is playing a violin.,A man is looking in a telescope.,1,0.9838769,0.016123118,0.9838769
70,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,0,0.93369,0.93369,0.06630998
71,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,1,0.8828767,0.117123336,0.8828767
72,A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,1,0.97582936,0.024170589,0.97582936
73,Three boys in white shirts are walking behind an older model Ford car.,there are three boys,0,0.5666988,0.5666988,0.4333012
74,Three boys in white shirts are walking behind an older model Ford car.,There are three girls,0,0.5457174,0.5457174,0.45428252
75,Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,1,0.5386623,0.4613377,0.5386623
76,Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,0,0.82433444,0.82433444,0.17566551
77,Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,0,0.9328911,0.9328911,0.0671089
78,Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,0,0.92922246,0.92922246,0.07077752
79,A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,0,0.9444091,0.9444091,0.055590875
80,A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,1,0.814027,0.18597299,0.814027
81,A woman working long hours.,A woman is working.,0,0.67226416,0.67226416,0.32773587
82,A woman working long hours.,A woman is sleeping.,1,0.9239166,0.07608345,0.9239166
83,Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,1,0.594758,0.40524206,0.594758
84,Two teenage girls conversing next to lockers.,People talking next to lockers.,0,0.9394832,0.9394832,0.060516734
85,An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,1,0.97441703,0.02558295,0.97441703
86,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,0,0.67219955,0.67219955,0.32780042
87,"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,1,0.98116356,0.01883638,0.98116356
88,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,1,0.7278582,0.27214178,0.7278582
89,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,1,0.9763507,0.023649283,0.9763507
90,A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,0,0.7354017,0.7354017,0.26459825
91,A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,0,0.71007454,0.71007454,0.2899255
92,A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,0,0.70737123,0.70737123,0.2926288
93,A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,1,0.98784804,0.012152005,0.98784804
94,"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,0,0.9490898,0.9490898,0.050910197
95,"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,1,0.9705611,0.029438943,0.9705611
96,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.,0,0.88004625,0.88004625,0.11995377
97,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,1,0.986254,0.013745991,0.986254
98,The man in the black wetsuit is walking out of the water.,a person is walking out of water.,0,0.78475595,0.78475595,0.21524407
99,The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,1,0.7648505,0.2351495,0.7648505
100,Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,1,0.9600515,0.039948527,0.9600515
101,Five girls and two guys are crossing a overpass.,There are people outside.,1,0.94183916,0.058160838,0.94183916
