,text,predict,correct_class_prob,probab_0,probab_1
62,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",0,0.99547994,0.99547994,0.004520002
63,"one of the greatest family-oriented , fantasy-adventure movies ever .",0,0.99778676,0.99778676,0.002213261
64,"ultimately , it ponders the reasons we need stories so much .",1,0.88870156,0.11129839,0.88870156
65,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,0,0.993523,0.993523,0.006476924
66,illuminating if overly talky documentary .,0,0.9905019,0.9905019,0.009498135
67,a masterpiece four years in the making .,0,0.9982767,0.9982767,0.0017232617
68,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,0.7487401,0.2512599,0.7487401
69,offers a breath of the fresh air of true sophistication .,0,0.99658513,0.99658513,0.0034149024
70,"a thoughtful , provocative , insistently humanizing film .",0,0.998264,0.998264,0.0017360274
71,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",0,0.9633407,0.9633407,0.036659274
72,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,0,0.9866144,0.9866144,0.013385605
73,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",0,0.994177,0.994177,0.005822986
74,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,0,0.99712294,0.99712294,0.002877026
75,"occasionally melodramatic , it's also extremely effective .",0,0.9970651,0.9970651,0.0029348899
76,spiderman rocks,0,0.9842189,0.9842189,0.01578113
77,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,0,0.9983443,0.9983443,0.0016557437
78,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,0.874317,0.12568304,0.874317
79,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,0.98464984,0.015350132,0.98464984
80,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,0.98071814,0.0192818,0.98071814
81,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",0,0.9985239,0.9985239,0.0014760777
82,"light , cute and forgettable .",0,0.91238153,0.91238153,0.08761849
83,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,0.97902715,0.020972881,0.97902715
84,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",0,0.98537976,0.98537976,0.014620222
85,"though everything might be literate and smart , it never took off and always seemed static .",0,0.67796606,0.67796606,0.32203397
86,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",0,0.99783736,0.99783736,0.0021626025
87,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,0.9965699,0.003430099,0.9965699
88,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0,0.9979527,0.9979527,0.002047242
89,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,0.9952049,0.0047950777,0.9952049
90,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",0,0.9975788,0.9975788,0.002421198
91,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",0,0.9734345,0.9734345,0.026565507
92,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,0,0.9960594,0.9960594,0.003940556
93,"compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0.99025947,0.009740494,0.99025947
94,the film makes a strong case for the importance of the musicians in creating the motown sound .,0,0.67825663,0.67825663,0.32174337
95,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,0.98585504,0.014144916,0.98585504
96,gosling provides an amazing performance that dwarfs everything else in the film .,0,0.998464,0.998464,0.0015359799
97,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",0,0.9978988,0.9978988,0.002101163
98,tender yet lacerating and darkly funny fable .,0,0.998262,0.998262,0.0017380283
99,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,0,0.99554044,0.99554044,0.0044595515
